sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019.0,0.027687425585056533,0.4640006798220816,0.3383706598178758,0.0013571736318950052
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020.0,0.02795956205134594,0.40183196684320016,0.33234298636956106,0.0009598188150887034
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,0.03551038913341782,0.3126523632109938,0.28795350123802516,0.007253481473819182
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018.0,0.0012480397297015811,0.023030172567445797,0.7415052942193504,0.024307096508878308
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018.0,0.006651571121901951,0.003404291223218075,0.5934451868038771,0.1951159014812963
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020.0,0.008773006214130265,0.25775552034589466,0.2035807954224013,0.168147385604267
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023.0,0.010300784566849581,0.03247453743415745,0.5728641531390367,0.2991751336986067
"Производство компьютеров, электронных и оптических изделий",26,2017.0,0.026483307827174857,0.45746869132608126,0.37570421576642465,0.01123284594552064
"Производство компьютеров, электронных и оптических изделий",26,2018.0,0.02613338811530003,0.541393977314915,0.2863741601237658,0.0034956389479047904
"Производство компьютеров, электронных и оптических изделий",26,2019.0,0.02829700540171172,0.35620621742423414,0.40751548992563486,0.0026577713030757314
"Производство компьютеров, электронных и оптических изделий",26,2020.0,0.028739537853304034,0.4837649494319306,0.35962995765452976,0.013194153490524758
"Производство компьютеров, электронных и оптических изделий",26,2021.0,0.02690536256765056,0.45847942064332425,0.36367628657254986,0.04635479551305438
"Производство компьютеров, электронных и оптических изделий",26,2022.0,0.026218697134884877,0.39550214923550536,0.4450187926537782,0.032556293987467906
"Производство компьютеров, электронных и оптических изделий",26,2023.0,0.031322254540208705,0.4177450564161681,0.41977764386158195,0.047911513095360354
"Производство компьютеров, электронных и оптических изделий",26,2024.0,0.03601560718191255,0.4169357387707646,0.44372197427644855,0.05061070426383361
Производство электрического оборудования,27,2017.0,0.018266478651272577,0.04873271466106694,0.5735499901015175,0.016839069014629133
Производство электрического оборудования,27,2018.0,0.01928544118084027,0.03915625187188747,0.5853374387878706,0.021381882529041732
Производство электрического оборудования,27,2019.0,0.01940066415656455,0.03860982616840687,0.6394015369015139,0.02361126589533149
