sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2019.0,0.010607251321196356,0.005809329725182924,0.4911899731494931,0.16236679498573672
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2024.0,0.008135103362207817,0.009650486240266345,0.2907940139797376,0.2122104841705261
Производство прочих транспортных средств и оборудования,30,2017.0,0.04082299048463054,0.2210663700894794,0.3175702184269132,0.041230203323667544
Производство прочих транспортных средств и оборудования,30,2018.0,0.041654105859199035,0.17827594153593057,0.36139820251673416,0.029274922975736525
Производство прочих транспортных средств и оборудования,30,2019.0,0.042414085694442875,0.2941985321792908,0.2831505325126271,0.024383931171288793
Производство прочих транспортных средств и оборудования,30,2020.0,0.039440812196433465,0.39785628519371874,0.24515642126968487,0.01666365607025143
Производство прочих транспортных средств и оборудования,30,2021.0,0.04007909741236786,0.33293684655894296,0.25802821709877344,0.03826925661556613
Производство прочих транспортных средств и оборудования,30,2022.0,0.03339963324040131,0.3532713642773197,0.2556319380293281,0.029561239425058904
Производство прочих транспортных средств и оборудования,30,2023.0,0.039132664455992616,0.2794280565987909,0.26110404325563574,0.031189661965776987
Производство прочих транспортных средств и оборудования,30,2024.0,0.04099960286468014,0.29118558001865585,0.297936827919784,0.04865629705743208
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2017.0,0.008921473474705567,0.12536020801903963,0.12695893209390705,0.012341515811298406
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2018.0,0.009095851117117968,0.017690141626900753,0.5300051195658936,0.03520359415298437
Производство железнодорожных локомотивов и подвижного состава,30.2,2017.0,0.012172906473247603,0.03422376963804076,0.6586193677478505,0.0001747015935769819
Производство железнодорожных локомотивов и подвижного состава,30.2,2018.0,0.014603174000756523,0.024319563197979947,0.6429207625953697,0.0009104509202462123
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2017.0,0.019470516185906783,0.3846631354573176,0.32706302471992793,0.04782774468376597
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2018.0,0.017719017681298445,0.3899694304553661,0.3430026852278604,0.030594697069994098
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2019.0,0.01560998926345042,0.7660714832371965,0.27490921677499053,0.025360731597626536
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2020.0,0.01539615205909526,1.0,0.23783921745317047,0.014554819222132337
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2021.0,0.0161114413849653,0.8060242274481842,0.2511348062038708,0.03927996348385361
