region,okato,year,VDS_r,AIusage_r,BDusage_r
Магаданская область,44,2024,0.04073404757003358,0.28986050219210846,0.08255155482815059
Московская область,46,2021,0.8524374137989634,0.8303779054462869,0.49011712604645136
Московская область,46,2022,0.8196815796471508,0.9889640393704372,0.7785502149016258
Московская область,46,2023,0.8636714508604044,0.7665897292686479,0.3861094128416196
Московская область,46,2024,0.8406873141041213,0.5310369574381467,0.20744470129882295
Мурманская область,47,2021,0.13801559370233718,0.43947640512093683,0.33994728556435455
Мурманская область,47,2022,0.12111503466773473,0.4957764723053346,0.4481795025471981
Мурманская область,47,2023,0.1051110400539276,0.4147150259067358,0.20700000000000002
Мурманская область,47,2024,0.08658090625073624,0.3798575129533679,0.13070885047281322
Новгородская область,49,2021,0.043302824848763175,0.7800505688102106,0.4085347332758948
Новгородская область,49,2022,0.03984078162719491,0.6692603118792992,0.6252244073157517
Новгородская область,49,2023,0.03825972707655908,0.24879556403963277,0.2736562150055991
Новгородская область,49,2024,0.03702133711011833,0.2943625171604446,0.12976450263684305
Приморский край,5,2021,0.17156611437494373,0.3186741575427843,0.4092576524287985
Приморский край,5,2022,0.167813834264591,0.4684652492406647,0.4395818048422597
Приморский край,5,2023,0.17679837953316233,0.2890191956237736,0.23651087122673442
Приморский край,5,2024,0.16495567852164666,0.2720231579459486,0.12693537109179903
Новосибирская область,50,2021,0.21158043441653268,0.39437344515476414,0.36354964136498663
Новосибирская область,50,2022,0.20867114414467652,0.5071599247910836,0.418201965696666
Новосибирская область,50,2023,0.21403789890971986,0.36406031001101113,0.21139081234221146
Новосибирская область,50,2024,0.20822682802200412,0.3627980438087556,0.13800384603134158
Омская область,52,2021,0.1017021409238009,0.22269208282091088,0.1614465187515523
Омская область,52,2022,0.09926341804385558,0.3444449077887011,0.2561025728841132
Омская область,52,2023,0.11401490112653404,0.264161030905859,0.1304179785116266
Омская область,52,2024,0.10911639375223772,0.2539653419937031,0.06925990023414436
Оренбургская область,53,2021,0.1766499381457474,0.4083222878258425,0.3502587415470889
Оренбургская область,53,2022,0.16520600825328458,0.5122838228611891,0.40448542549894834
Оренбургская область,53,2023,0.1654505608852735,0.3947822061112315,0.1965122158401424
Оренбургская область,53,2024,0.15971575238369642,0.32857674870466325,0.12400731382978725
Орловская область,54,2021,0.042686773502202076,0.4239461779788302,0.2333071785701252
Орловская область,54,2022,0.03883692584300156,0.38588699728596104,0.3257232916807385
Орловская область,54,2023,0.03713690470479835,0.36198452693590744,0.16350918099679396
Орловская область,54,2024,0.03406974718739849,0.2811756679512474,0.06957295373665481
Пензенская область,56,2021,0.06806268772080115,0.271475196130757,0.3264716150429605
Пензенская область,56,2022,0.06238073924457606,0.4266014183678872,0.36255375861319317
Пензенская область,56,2023,0.06170841532610498,0.34690183831357796,0.18518653453803555
Пензенская область,56,2024,0.06203161267921416,0.38925328182500596,0.1135431546500263
Пермский край,57,2021,0.2217877243447756,0.4940427227936874,0.43059424730995577
Пермский край,57,2022,0.21107507780542734,0.3651992847798642,0.5840372750944193
Пермский край,57,2023,0.20676811002268056,0.3099998972246244,0.2514132145204175
Пермский край,57,2024,0.20114473817865391,0.3032232273520887,0.1282573261560593
Псковская область,58,2021,0.02866445242185566,0.5064766839378239,0.41778182157521465
Псковская область,58,2022,0.027076930280427833,0.5448066607531037,0.5354573451936154
Псковская область,58,2023,0.027213467230506577,0.3027563225918293,0.2588523293522107
Псковская область,58,2024,0.02711862150952185,0.33364339416675637,0.13145242755224446
Ростовская область,60,2021,0.259065928097666,0.40732333585449815,0.4292221198223564
Ростовская область,60,2022,0.24687674569772097,0.4137318044420617,0.551306432223397
Ростовская область,60,2023,0.255783379442399,0.27445135735291176,0.26415427585640355
Ростовская область,60,2024,0.23901599404592472,0.3182152828904416,0.14385659688551708
Рязанская область,61,2021,0.06911865947563506,0.41445588442408476,0.2392201625422336
Рязанская область,61,2022,0.06560377463017801,0.5330343940468606,0.35496322258972207
Рязанская область,61,2023,0.06574444893841007,0.3775850105749078,0.1797441521183578
