sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s
Литье металлов,24.5,2020.0,0.003997615595935667,0.013333333333333334,0.00021398231792779524
Литье металлов,24.5,2021.0,0.004272704385970525,0.013333333333333334,0.00021398231792779524
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018.0,0.12588248023475826,0.5733333333333334,0.6686590798047054
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019.0,0.1348702241265794,0.8266666666666667,0.9454808717639632
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020.0,0.14741647561228094,0.8266666666666667,0.9229556664300973
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,0.14697189466592295,0.8666666666666667,0.7979222316929211
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022.0,0.1415293612758902,0.9333333333333333,0.8747811139206196
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,0.1642701934255798,0.9466666666666667,0.9440329247459852
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,0.1842048729940976,1.0,1.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018.0,0.06548600108645009,0.4266666666666667,0.6173033235020347
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019.0,0.07389058471425858,0.64,0.8776128132611974
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020.0,0.07461684662526302,0.6533333333333333,0.7970841342810372
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,0.09476805304409594,0.8666666666666667,0.9376170215801167
Производство строительных металлических конструкций и изделий,25.1,2020.0,0.0352201717269188,0.013333333333333334,0.00021398231792779524
Производство строительных металлических конструкций и изделий,25.1,2021.0,0.03725065632619291,0.013333333333333334,7.132743930926508e-05
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018.0,0.0033306955567601487,0.05333333333333334,0.0037446905637364167
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2019.0,0.0037290344109557364,0.04,0.019187081174192305
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2020.0,0.004275253249224698,0.04,0.01895170062447173
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021.0,0.004537976574092746,0.04,0.009836053880747654
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2020.0,0.004165222819844366,0.013333333333333334,0.027461064134067053
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021.0,0.004654509883571358,0.013333333333333334,0.04679080018687789
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2024.0,0.0067532322295911,0.013333333333333334,0.05288929624782005
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2024.0,0.003730627289223571,0.013333333333333334,0.00010699115896389762
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018.0,0.017751324620483257,0.05333333333333334,0.0024251329365150127
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2019.0,0.0202402690343457,0.06666666666666667,0.00253212409547891
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020.0,0.02341288672262036,0.08,0.07846018324019158
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021.0,0.02496834213738955,0.05333333333333334,0.010235487540879539
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022.0,0.023324573561316692,0.08,0.014408142740471546
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023.0,0.027490132382366538,0.04,0.008555726345146347
