sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s,researchers_s
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2020.0,0.00817209004543945,0.0438871473354232,0.016949722392143863,0.016687664915491954
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021.0,0.0075605401501856835,0.03918495297805643,0.010535556686636999,0.011299435028248588
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022.0,0.007240261618468455,0.045454545454545456,0.011134199700211534,0.011901648956822846
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023.0,0.008704101404585886,0.04231974921630094,0.01587571386545008,0.015340607443681112
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024.0,0.008856468026919853,0.045454545454545456,0.015493740398130292,0.016457872758535986
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2018.0,0.0007199740395885394,0.0109717868338558,0.002241409099187022,0.0021949112923035476
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2019.0,0.0007114837851497128,0.012539184952978056,0.0019145369388889149,0.0020602055451224635
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2020.0,0.0006983625098797454,0.0109717868338558,0.0017090744381301046,0.0019888907377913012
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2021.0,0.0007704907932987435,0.009404388714733543,0.010357177879160032,0.00912037147090752
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2022.0,0.0006547674490328475,0.0109717868338558,0.0013168278457723755,0.0019334236654226194
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023.0,0.0008469790651913964,0.014106583072100314,0.0022815676788807897,0.002186987424822307
Производство кабелей и кабельной арматуры,27.3,2018.0,0.005128397286510433,0.004702194357366771,0.0034928625128997763,0.0030903083176836953
Производство кабелей и кабельной арматуры,27.3,2020.0,0.005392676646789361,0.006269592476489028,0.00024375323953658868,0.0002852592293246488
Производство кабелей и кабельной арматуры,27.3,2021.0,0.00677320221461322,0.006269592476489028,0.000903101082880771,0.0005625945911680574
Производство кабелей и кабельной арматуры,27.3,2022.0,0.006490200384157862,0.012539184952978056,0.003280862568935004,0.0024247034492595144
Производство кабелей и кабельной арматуры,27.3,2023.0,0.0067428569490256135,0.0109717868338558,0.0018379554613333583,0.004397746452088336
Производство кабелей и кабельной арматуры,27.3,2024.0,0.006628750750237968,0.01567398119122257,0.0036899197295366354,0.0033042527396771816
Производство электрических ламп и осветительного оборудования,27.4,2020.0,0.0011888876309341593,0.003134796238244514,0.0005603522747967555,0.00047543204887441463
Производство электрических ламп и осветительного оборудования,27.4,2021.0,0.0009703382321837896,0.003134796238244514,0.0005790306839566474,0.0004912797838368951
Производство электрических ламп и осветительного оборудования,27.4,2022.0,0.0009766304931829765,0.004702194357366771,0.0006070482976964852,0.000554670723686817
Производство электрических ламп и осветительного оборудования,27.4,2023.0,0.0011564384739084167,0.004702194357366771,0.0007191187526558363,0.0006418332659804597
Производство электрических ламп и осветительного оборудования,27.4,2024.0,0.0012013158609738082,0.004702194357366771,0.0007377971618157281,0.000586366193611778
Производство бытовых приборов,27.5,2021.0,0.002976084997246659,0.001567398119122257,6.537443205962148e-05,5.546707236868171e-05
Производство прочего электрического оборудования,27.9,2018.0,0.0021864187963572587,0.018808777429467086,0.006882993775420148,0.006069682490630027
Производство прочего электрического оборудования,27.9,2019.0,0.002216108638921999,0.01567398119122257,0.00403453637853664,0.0029080593656151694
Производство прочего электрического оборудования,27.9,2020.0,0.0026931681912034625,0.014106583072100314,0.0013261670503523215,0.0012281994595922379
