region,okato,year,factoriescap_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Костромская область,34,2022,0.03143249490795262,0.8946924623086651,0.06882111929527752,0.043788446094293165
Костромская область,34,2023,0.03258503823694669,1.0,0.10386146518265386,0.05515159101287864
Самарская область,36,2020,0.2649984936911593,0.4808281751578273,0.2312558295378685,0.186701914276344
Самарская область,36,2022,0.2553487908566879,0.32008093114293173,0.06957965816834616,0.25743615498938377
Самарская область,36,2023,0.26553339669682086,0.3155874307168529,0.02702348335259912,0.3805225410191479
Самарская область,36,2024,0.2866683129316012,0.3100218128816572,0.05078750492718401,0.3223477313157933
Курганская область,37,2020,0.026191506646390167,0.25059706401552106,0.010426111178294086,0.10872514431935866
Курганская область,37,2021,0.027905160679840366,0.22419860023259217,0.021324138546861424,0.09999245617153883
Курганская область,37,2022,0.028969135411572824,0.2128939100773032,0.01715257911767371,0.41712290500294946
Курганская область,37,2023,0.03251480392007982,0.3306494754150249,0.1779000705004289,0.2977580160514822
Курганская область,37,2024,0.037003130089577334,0.565508097460631,0.002634586478781663,0.10109849410919586
Курская область,38,2020,0.06545928005758074,0.15773239462900013,0.02895622747694608,0.4211740398074836
Курская область,38,2021,0.08795153040078095,0.14248263390846527,0.055004402439220806,0.3883461295036645
Курская область,38,2022,0.06702618333379129,0.16779061383395552,0.10144142004301523,0.15029368284057767
Курская область,38,2023,0.07106155206004285,0.17595564506012867,0.0672263283453163,0.17272472711335762
Курская область,38,2024,0.06613407058596815,0.1665628832930889,0.00596444741271539,0.1439356139464636
Красноярский край,4,2020,0.43098723222471536,0.1451377148011651,0.09931996055310365,0.1888274258960966
Красноярский край,4,2021,0.4355459238808501,0.16565872885768843,0.04782038504383448,0.21864633118085353
Красноярский край,4,2022,0.3802091789321908,0.2312134194774254,0.08519052604146632,0.3341999287408632
Красноярский край,4,2023,0.3751504622289,0.2224945056698949,0.2719894028975654,0.5084489857097985
Красноярский край,4,2024,0.35327457139649876,0.2294683058399447,0.3745765129821012,0.5700679714886192
Город Санкт-Петербург город федерального значения,40,2020,0.5278636436518239,0.6600640704573634,0.6335507361055,0.4320351545774216
Город Санкт-Петербург город федерального значения,40,2021,0.698324008833801,0.929666236553512,0.09043186185052854,0.4245349666325764
Город Санкт-Петербург город федерального значения,40,2024,0.5838131866879779,0.8657345228444969,0.05406613558579618,0.40656587086170565
Ленинградская область,41,2020,0.2211019386383631,0.19340450777027346,0.08674180457855243,0.11876221327450862
Ленинградская область,41,2021,0.2662223081353439,0.24447587910424978,0.10073276139464746,0.12276699868858267
Ленинградская область,41,2022,0.24424548834739204,0.15947854395406036,0.04743978739356216,0.5188551596531572
