region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Свердловская область,65,2021,0.4133093388714397,0.49071838658704653,0.08602271480506346,0.7448176593443148
Свердловская область,65,2022,0.38752955992321425,0.5081882350438945,0.061166994564637256,0.47346354183124323
Свердловская область,65,2023,0.41351357721758464,0.5005496277466635,0.043208494271913374,0.518907647467148
Свердловская область,65,2024,0.38522533523083996,0.5571540254098029,0.05442780363497965,0.4328791940100683
Смоленская область,66,2020,0.05361692014113088,0.2778909689551339,0.037196620694734374,0.6339274180651845
Смоленская область,66,2021,0.05666789289249214,0.411448483274735,0.017542669999957527,0.2668265055200458
Смоленская область,66,2022,0.05371963291712437,0.3580028143368721,0.009664825415074647,0.2932864379707326
Смоленская область,66,2023,0.054995934882266485,0.35264047615191496,0.3455665983410932,0.2218349603685589
Смоленская область,66,2024,0.05317646622832133,0.32877792305399706,0.00345683838038502,0.30173475442320513
Тамбовская область,68,2020,0.055112013997786174,0.2806337906440533,0.08501792715807709,0.22356467615079587
Тамбовская область,68,2021,0.058380837237856385,0.2744291286092613,0.18256521736811485,0.3048758916325805
Тамбовская область,68,2022,0.050183579219326216,0.24368712093950604,0.15024742782406988,0.3303086637889917
Тамбовская область,68,2023,0.0514002065039828,0.27801237255655903,0.04856735351055942,0.345231823339645
Тамбовская область,68,2024,0.04709836260249119,0.3558396839578292,0.08553359001715453,0.21286801855019002
Томская область,69,2021,0.0957037236246886,0.6151406973564248,0.9402428153606291,0.3866720568600033
Томская область,69,2022,0.09046793620246912,0.6022246055080298,0.8497985393889347,0.20730021979403823
Томская область,69,2023,0.08998434912698372,0.6083717102618863,0.12911230052157588,0.1978004084493151
Томская область,69,2024,0.08900885391912586,0.5774717728518041,0.3474388206164281,0.09946028578269847
Ставропольский край,7,2020,0.12566519751406696,0.3235387606061845,0.1299041273303608,0.32125667608893504
Ставропольский край,7,2021,0.1386534820226029,0.2985685695621402,0.08710833992295908,0.2986889069242532
Ставропольский край,7,2022,0.13183315502054355,0.26184121289988593,0.04290202801911962,0.27506364830373653
Ставропольский край,7,2023,0.13429762942408544,0.22431352638504093,0.39298287112160074,0.4818341936222696
Ставропольский край,7,2024,0.1294849924840016,0.2615786257940116,0.4581934525467497,0.5647293452775423
Тульская область,70,2020,0.10572514643483073,0.42080226325693443,0.0508997626680221,0.18974201951760503
Тульская область,70,2021,0.11787155070113702,0.3530941464193274,0.05455016449577602,0.16323052799392812
Тульская область,70,2022,0.11194313019387678,0.3075414513767612,0.06619781428976812,0.1672469445728226
Тульская область,70,2023,0.11336709109898584,0.2745154854822963,0.03365518690766176,0.18775980742546214
Тульская область,70,2024,0.105894490368783,0.3137357602980008,0.02206992470230369,0.1688195678678536
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2020,0.17169933585462593,0.4205495080555778,0.0725788773557531,0.1209972848806887
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2021,0.2072646466851836,0.3793427266226257,0.010223664133515437,0.09415569946298318
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2022,0.19111465005974113,0.34452949677199723,0.07771541869866985,0.1704882180063104
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2023,0.18900448856721563,0.3698070372295506,0.11481606403844638,0.11607555213749092
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,0.1796432490861644,0.35694157770820406,0.17999852295739935,0.10830394682431786
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2020,0.4877870756848999,0.2694223676325408,0.008536462526055215,0.08739804238951647
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2021,0.745848068850305,0.2044763864705189,0.9134201305642474,0.13602715805107005
