region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r,RDcosts_r,RDsalary_r,RDequip_r
Кемеровская область - Кузбасс,32,2021,0.22649766337065153,0.22894073159911663,0.08485129879136072,0.24695455365364608,0.037412949509353866,0.7048240333844717,0.5100186170832225
Кемеровская область - Кузбасс,32,2022,0.22695316385791336,0.23657250389125192,0.15703250583144365,0.20486066911382564,0.03513537793015683,0.6864572464124054,0.3947469574513712
Кемеровская область - Кузбасс,32,2023,0.1750879004911351,0.2775148526811511,0.020552336908125947,0.2767489584451258,0.05198041882591444,0.6665037591828927,0.5125280198950372
Кемеровская область - Кузбасс,32,2024,0.13923063625748258,0.356716760357364,0.1536775135311083,0.1551174500054144,0.058479824056389546,0.7140454464490886,0.34900964734639645
Кировская область,33,2020,0.05543369276072696,0.34729601981239566,0.09801476583960278,0.2568306625548468,0.36230361222839785,0.3388120308927413,0.008741739776901231
Кировская область,33,2021,0.061258871767542356,0.4328464494215856,0.01205124791176467,0.5974873272355709,0.24043418931885313,0.4135364213873061,0.038407862230272864
Кировская область,33,2022,0.05762946429643696,0.40609164815927784,0.015028304225305567,0.13021219564916028,0.24557069776252866,0.4617589340568856,0.024822493150538166
Кировская область,33,2023,0.05607848462199609,0.4723039872948264,0.021122225601305028,0.22239707795015082,0.2589404737919228,0.4151651438284641,0.02946626339664108
Кировская область,33,2024,0.0547112037819525,0.7453966286536025,0.02506347114085194,0.3199374247766671,0.2022033843050115,0.48736514465679887,0.04530599706296463
Самарская область,36,2020,0.23004451863196632,0.8825315988859859,0.24595330669894092,0.186701914276344,0.5424977584850433,0.33879105781906815,0.14677898780338272
Самарская область,36,2022,0.25191457283105995,0.516950734057705,0.0740017972290051,0.25743615498938377,0.44691681087665447,0.30719581105513066,0.2006908180372078
Самарская область,36,2023,0.2509880168869019,0.5319792610632414,0.028740962346236375,0.3805225410191479,0.4132830877717476,0.38411169269083956,0.35034942388235635
Самарская область,36,2024,0.2538972066926979,0.5577285281490587,0.05401530763912779,0.3223477313157933,0.39293883562319476,0.42332019641512614,0.14151351587524788
Курганская область,37,2021,0.033951668389969145,0.2936061472621979,0.02267939536308243,0.09999245617153883,0.07251657916521174,0.5854906790498003,0.09335677263949466
Курганская область,37,2023,0.034843571592499095,0.4916263503468027,0.18920651941615263,0.2977580160514822,0.06162123895020251,0.623867572795357,0.4637558079407775
Курганская область,37,2024,0.03527639690846808,0.9451525500012137,0.002802027769572661,0.10109849410919586,0.05923587968721694,0.6495967509777212,0.3964380298973243
Курская область,38,2021,0.08547724574382136,0.23359506101196936,0.0585002103080404,0.3883461295036645,0.23618692202910016,0.4965920847514373,0.006867076383193895
Курская область,38,2022,0.06946594485095156,0.25795802669208695,0.10788853515898177,0.15029368284057767,0.21378275324075585,0.6093277839120137,0.09009216146506656
Курская область,38,2023,0.06931502575788025,0.2874215615835153,0.07149890139764771,0.17272472711335762,0.21550959121525562,0.5848244363431654,0.03937570597994589
Курская область,38,2024,0.06370125305523928,0.2755271180661704,0.006343518201123114,0.1439356139464636,0.21935630810233292,0.5419770257694124,0.05117073669509895
Красноярский край,4,2020,0.3754940775418693,0.2654302610594609,0.10563224619271308,0.1888274258960966,0.5880299809151112,0.17025282664363725,0.025657497819645304
Красноярский край,4,2021,0.3873931540675878,0.2967598732284769,0.05085961228588917,0.21864633118085353,0.4829400661333143,0.20520160726135797,0.04161577956674897
Красноярский край,4,2022,0.3464317612773644,0.4043214410463277,0.09060481468161134,0.3341999287408632,0.4886593736373037,0.21897613556832443,0.029522006693865344
