sector,okved2,year,PCusage_s
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024.0,96.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,87.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2022.0,91.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023.0,88.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2024.0,75.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2021.0,21.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2022.0,18.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2023.0,17.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2024.0,19.0
Производство яиц сельскохозяйственной птицы,01.47.2,2021.0,118.0
Производство яиц сельскохозяйственной птицы,01.47.2,2022.0,122.0
Производство яиц сельскохозяйственной птицы,01.47.2,2023.0,118.0
Производство яиц сельскохозяйственной птицы,01.47.2,2024.0,119.0
Деятельность инкубаторов для птицеводства,01.47.3,2021.0,2.0
Деятельность инкубаторов для птицеводства,01.47.3,2022.0,2.0
Деятельность инкубаторов для птицеводства,01.47.3,2023.0,2.0
Деятельность инкубаторов для птицеводства,01.47.3,2024.0,5.0
Разведение прочих животных,01.49,2021.0,76.0
Разведение прочих животных,01.49,2022.0,71.0
Разведение прочих животных,01.49,2023.0,73.0
Разведение прочих животных,01.49,2024.0,66.0
Пчеловодство,01.49.1,2021.0,2.0
Пчеловодство,01.49.1,2022.0,2.0
Пчеловодство,01.49.1,2024.0,3.0
Пчеловодство медового направления,01.49.11,2021.0,1.0
Пчеловодство медового направления,01.49.11,2022.0,1.0
Пчеловодство медового направления,01.49.11,2024.0,1.0
Пчеловодство опылительного направления,01.49.12,2021.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2021.0,11.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2022.0,12.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2023.0,8.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2024.0,6.0
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2021.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2022.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2023.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2024.0,
Разведение прочих пушных зверей на фермах,01.49.22,2021.0,10.0
Разведение прочих пушных зверей на фермах,01.49.22,2022.0,10.0
Разведение прочих пушных зверей на фермах,01.49.22,2023.0,6.0
Разведение прочих пушных зверей на фермах,01.49.22,2024.0,6.0
Разведение шелкопряда,01.49.3,2021.0,
Разведение шелкопряда,01.49.3,2022.0,
Разведение шелкопряда,01.49.3,2024.0,
Разведение оленей,01.49.4,2021.0,58.0
Разведение оленей,01.49.4,2022.0,51.0
Разведение оленей,01.49.4,2023.0,56.0
Разведение оленей,01.49.4,2024.0,53.0
Разведение домашних северных оленей,01.49.41,2021.0,33.0
Разведение домашних северных оленей,01.49.41,2022.0,28.0
Разведение домашних северных оленей,01.49.41,2023.0,30.0
Разведение домашних северных оленей,01.49.41,2024.0,34.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2021.0,2.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2022.0,2.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2023.0,3.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2024.0,2.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2021.0,2.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2022.0,1.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2023.0,1.0
Разведение домашних животных,01.49.5,2021.0,
Разведение домашних животных,01.49.5,2022.0,1.0
Разведение домашних животных,01.49.5,2023.0,
Разведение домашних животных,01.49.5,2024.0,
Разведение лабораторных животных,01.49.6,2021.0,1.0
Разведение лабораторных животных,01.49.6,2022.0,1.0
Разведение лабораторных животных,01.49.6,2023.0,2.0
Разведение лабораторных животных,01.49.6,2024.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2021.0,3.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2022.0,2.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2023.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2024.0,2.0
Смешанное сельское хозяйство,01.5,2019.0,129.0
Смешанное сельское хозяйство,01.50,2021.0,110.0
Смешанное сельское хозяйство,01.50,2022.0,97.0
Смешанное сельское хозяйство,01.50,2023.0,91.0
Смешанное сельское хозяйство,01.50,2024.0,104.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2019.0,520.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2021.0,542.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2022.0,538.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2023.0,518.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024.0,497.0
Предоставление услуг в области растениеводства,01.61,2021.0,507.0
Предоставление услуг в области растениеводства,01.61,2022.0,500.0
Предоставление услуг в области растениеводства,01.61,2023.0,480.0
Предоставление услуг в области растениеводства,01.61,2024.0,465.0
Предоставление услуг в области животноводства,01.62,2021.0,28.0
Предоставление услуг в области животноводства,01.62,2022.0,27.0
Предоставление услуг в области животноводства,01.62,2023.0,26.0
Предоставление услуг в области животноводства,01.62,2024.0,18.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2021.0,2.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2022.0,3.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2023.0,4.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2024.0,4.0
Обработка семян для посадки,01.64,2021.0,5.0
Обработка семян для посадки,01.64,2022.0,8.0
Обработка семян для посадки,01.64,2023.0,8.0
Обработка семян для посадки,01.64,2024.0,10.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2019.0,98.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2021.0,104.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2022.0,99.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2023.0,109.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2024.0,95.0
Лесоводство и лесозаготовки,02,2017.0,1708.0
Лесоводство и лесозаготовки,02,2018.0,1806.0
Лесоводство и лесозаготовки,02,2019.0,1377.0
Лесоводство и лесозаготовки,02,2021.0,1340.0
Лесоводство и лесозаготовки,02,2022.0,1296.0
Лесоводство и лесозаготовки,02,2023.0,1276.0
Лесоводство и лесозаготовки,02,2024.0,1279.0
Лесоводство и прочая лесохозяйственная деятельность,02.10,2021.0,709.0
Лесоводство и прочая лесохозяйственная деятельность,02.10,2022.0,720.0
Лесоводство и прочая лесохозяйственная деятельность,02.10,2023.0,727.0
Лесоводство и прочая лесохозяйственная деятельность,02.10,2024.0,669.0
Деятельность лесопитомников,02.10.1,2021.0,22.0
Деятельность лесопитомников,02.10.1,2022.0,22.0
Деятельность лесопитомников,02.10.1,2023.0,21.0
Деятельность лесопитомников,02.10.1,2024.0,15.0
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2021.0,17.0
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2022.0,15.0
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2023.0,13.0
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2024.0,8.0
Деятельность лесохозяйственная прочая,02.10.2,2021.0,62.0
Деятельность лесохозяйственная прочая,02.10.2,2022.0,64.0
Деятельность лесохозяйственная прочая,02.10.2,2023.0,68.0
Деятельность лесохозяйственная прочая,02.10.2,2024.0,64.0
Лесозаготовки,02.20,2018.0,298.0
Лесозаготовки,02.20,2019.0,248.0
Лесозаготовки,02.20,2021.0,215.0
Лесозаготовки,02.20,2022.0,201.0
Лесозаготовки,02.20,2023.0,176.0
Лесозаготовки,02.20,2024.0,163.0
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2021.0,1.0
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2022.0,3.0
