sector,okved2,year,AIcosts_s
"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",15.1,2024,
"Дубление и выделка кожи, выделка и крашение меха",15.11,2024,
Выделка и крашение меха,15.11.1,2024,
"Дубление, выделка и крашение кожи из шкур крупного рогатого скота или животных семейства лошадиных",15.11.3,2024,
"Производство чемоданов, дамских сумок и аналогичных изделий из кожи и других материалов; производство шорно-седельных и других изделий из кожи",15.12,2024,
Производство обуви,15.20,2024,
"Производство обуви, кроме спортивной, защитной и ортопедической",15.20.1,2024,
"Производство обуви с верхом из кожи, кроме спортивной обуви, обуви с защитным металлическим подноском и различной специальной обуви",15.20.13,2024,
Производство защитной обуви,15.20.3,2024,
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2024,7.5845
