sector,okved2,year,trainingcosts_s
Лесоводство и лесозаготовки,02,2017,4.2189
Лесоводство и лесозаготовки,02,2018,1.9836
Лесоводство и лесозаготовки,02,2019,4.1531
Лесоводство и лесозаготовки,02,2021,1.6588
Лесоводство и лесозаготовки,02,2022,1.7584000000000002
Лесоводство и лесозаготовки,02,2023,8.5157
Лесоводство и лесозаготовки,02,2024,7.958699999999999
Лесоводство и прочая лесохозяйственная деятельность,02.1,2021,0.2077
Лесоводство и прочая лесохозяйственная деятельность,02.1,2022,0.3025
Лесоводство и прочая лесохозяйственная деятельность,02.1,2023,6.724399999999999
Лесоводство и прочая лесохозяйственная деятельность,02.1,2024,0.4901
Лесоводство и прочая лесохозяйственная деятельность,02.10,2021,0.2077
Лесоводство и прочая лесохозяйственная деятельность,02.10,2022,0.3025
Лесоводство и прочая лесохозяйственная деятельность,02.10,2023,6.724399999999999
Лесоводство и прочая лесохозяйственная деятельность,02.10,2024,0.4901
Лесозаготовки,02.2,2021,0.4849
Лесозаготовки,02.2,2024,6.875
Лесозаготовки,02.20,2018,0.5248999999999999
Лесозаготовки,02.20,2019,0.1449
Лесозаготовки,02.20,2021,0.4849
Лесозаготовки,02.20,2024,6.875
Предоставление услуг в области лесоводства и лесозаготовок,02.4,2021,0.9662
Предоставление услуг в области лесоводства и лесозаготовок,02.4,2022,1.4269
Предоставление услуг в области лесоводства и лесозаготовок,02.4,2023,1.0057
Предоставление услуг в области лесоводства и лесозаготовок,02.4,2024,0.5936
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2021,0.9662
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2022,1.4269
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2023,1.0057
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2024,0.5936
Предоставление услуг в области лесоводства,02.40.1,2021,0.8612000000000001
Предоставление услуг в области лесоводства,02.40.1,2022,1.4269
Предоставление услуг в области лесоводства,02.40.1,2023,1.0057
Предоставление услуг в области лесоводства,02.40.1,2024,0.5936
" Рыболовство, рыбоводство",03,2016,0.4485
Рыболовство и рыбоводство,03,2017,0.8671
Рыболовство и рыбоводство,03,2018,1.7461
Рыболовство и рыбоводство,03,2019,0.8238
Рыболовство и рыбоводство,03,2021,0.4567
Рыболовство и рыбоводство,03,2022,1.2199
Рыболовство и рыбоводство,03,2023,4.4221
Рыболовство и рыбоводство,03,2024,9.9731
Рыболовство,03.1,2019,0.0820999999999999
Рыболовство,03.1,2021,0.3015
Рыболовство,03.1,2022,0.5649
Рыболовство,03.1,2023,1.8211
Рыболовство,03.1,2024,9.4461
Рыболовство морское,03.11,2021,0.3015
Рыболовство морское,03.11,2022,0.5649
Рыболовство морское,03.11,2023,1.8211
Рыболовство морское,03.11,2024,9.4301
Рыболовство морское промышленное,03.11.1,2022,0.195
Рыбоводство,03.2,2019,0.7417
Рыбоводство,03.2,2023,2.601
Рыбоводство,03.2,2024,0.527
Рыбоводство пресноводное,03.22,2023,2.601
"Добыча каменного угля, бурого угля и торфа",05,2016,4.3788
Добыча угля,05,2017,1.1417
Добыча угля,05,2018,3.4675
Добыча угля,05,2019,3.0403
Добыча угля,05,2021,1.4594
Добыча угля,05,2022,3.0615
Добыча угля,05,2023,2.016
Добыча угля,05,2024,5.2984
Добыча и обогащение угля и антрацита,05.1,2019,1.2366
Добыча и обогащение угля и антрацита,05.1,2021,1.2094
Добыча и обогащение угля и антрацита,05.1,2022,3.0615
Добыча и обогащение угля и антрацита,05.1,2023,1.999
Добыча и обогащение угля и антрацита,05.1,2024,0.7802
Добыча и обогащение угля и антрацита,05.10,2021,1.2094
Добыча и обогащение угля и антрацита,05.10,2022,3.0615
Добыча и обогащение угля и антрацита,05.10,2023,1.999
Добыча и обогащение угля и антрацита,05.10,2024,0.7802
Добыча угля и антрацита,05.10.1,2021,0.1321999999999999
Добыча угля и антрацита,05.10.1,2022,1.669
Добыча угля и антрацита,05.10.1,2023,1.0708
Добыча угля и антрацита,05.10.1,2024,0.6847000000000001
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2021,0.098
