sector,okved2,year,AIusage_s
"Технические испытания, исследования, анализ и сертификация",71.20,2024.0,35.0
"Технические испытания, исследования, анализ и сертификация",71.20,2025.0,55.0
"Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания",71.20.1,2021.0,1.0
"Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания",71.20.1,2022.0,7.0
"Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания",71.20.1,2023.0,11.0
"Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания",71.20.1,2024.0,3.0
"Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания",71.20.1,2025.0,3.0
Судебно-экспертная деятельность,71.20.2,2021.0,7.0
Судебно-экспертная деятельность,71.20.2,2022.0,10.0
Судебно-экспертная деятельность,71.20.2,2023.0,7.0
Судебно-экспертная деятельность,71.20.2,2024.0,7.0
Судебно-экспертная деятельность,71.20.2,2025.0,12.0
Испытания и анализ физико-механических свойств материалов и веществ,71.20.3,2021.0,1.0
Испытания и анализ физико-механических свойств материалов и веществ,71.20.3,2023.0,2.0
Испытания и анализ физико-механических свойств материалов и веществ,71.20.3,2024.0,4.0
Испытания и анализ физико-механических свойств материалов и веществ,71.20.3,2025.0,10.0
"Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование",71.20.4,2022.0,2.0
"Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование",71.20.4,2023.0,3.0
"Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование",71.20.4,2024.0,4.0
"Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование",71.20.4,2025.0,6.0
Деятельность по аттестационным испытаниям и аттестации на соответствие требованиям по защите информации,71.20.41,2025.0,6.0
Технический осмотр автотранспортных средств,71.20.5,2022.0,2.0
Технический осмотр автотранспортных средств,71.20.5,2023.0,2.0
Технический осмотр автотранспортных средств,71.20.5,2024.0,1.0
Технический осмотр автотранспортных средств,71.20.5,2025.0,1.0
"Экспертиза проектной документации, запасов полезных ископаемых и подземных вод, геологической информации о предоставляемых в пользование участках недр, результатов инженерных изысканий",71.20.6,2023.0,3.0
"Экспертиза проектной документации, запасов полезных ископаемых и подземных вод, геологической информации о предоставляемых в пользование участках недр, результатов инженерных изысканий",71.20.6,2024.0,4.0
"Экспертиза проектной документации, запасов полезных ископаемых и подземных вод, геологической информации о предоставляемых в пользование участках недр, результатов инженерных изысканий",71.20.6,2025.0,5.0
"Экспертиза проектной документации, запасов полезных ископаемых и подземных вод, геологической информации о предоставляемых в пользование участках недр, результатов инженерных изысканий государственная",71.20.61,2023.0,3.0
"Экспертиза проектной документации, запасов полезных ископаемых и подземных вод, геологической информации о предоставляемых в пользование участках недр, результатов инженерных изысканий государственная",71.20.61,2024.0,2.0
"Экспертиза проектной документации, запасов полезных ископаемых и подземных вод, геологической информации о предоставляемых в пользование участках недр, результатов инженерных изысканий государственная",71.20.61,2025.0,4.0
Экспертиза проектной документации и результатов инженерных изысканий негосударственная,71.20.62,2024.0,2.0
Экспертиза проектной документации и результатов инженерных изысканий негосударственная,71.20.62,2025.0,1.0
"Сертификация продукции, услуг и организаций",71.20.8,2021.0,5.0
"Сертификация продукции, услуг и организаций",71.20.8,2022.0,7.0
"Сертификация продукции, услуг и организаций",71.20.8,2023.0,2.0
"Сертификация продукции, услуг и организаций",71.20.8,2024.0,1.0
"Сертификация продукции, услуг и организаций",71.20.8,2025.0,3.0
"Деятельность по техническому контролю, испытаниям и анализу прочая",71.20.9,2021.0,5.0
"Деятельность по техническому контролю, испытаниям и анализу прочая",71.20.9,2022.0,10.0
"Деятельность по техническому контролю, испытаниям и анализу прочая",71.20.9,2023.0,8.0
"Деятельность по техническому контролю, испытаниям и анализу прочая",71.20.9,2024.0,9.0
"Деятельность по техническому контролю, испытаниям и анализу прочая",71.20.9,2025.0,11.0
Научные исследования и разработки,72,2021.0,173.0
Научные исследования и разработки,72,2022.0,263.0
Научные исследования и разработки,72,2023.0,203.0
Научные исследования и разработки,72,2024.0,207.0
Научные исследования и разработки,72,2025.0,229.0
