sector,okved2,year,researchers_s
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2022,98.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023,95.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2024,98.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2025,95.0
Производство красок и лаков на основе полимеров,20.30.1,2024,71.0
Производство красок и лаков на основе полимеров,20.30.1,2025,68.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2017,111.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018,131.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2019,130.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2020,110.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021,97.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2022,109.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023,109.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024,141.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2025,130.0
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2024,126.0
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2025,110.0
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2024,60.0
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2025,77.0
Производство прочих химических продуктов,20.5,2017,422.0
Производство прочих химических продуктов,20.5,2018,351.0
Производство прочих химических продуктов,20.5,2019,696.0
Производство прочих химических продуктов,20.5,2020,1082.0
Производство прочих химических продуктов,20.5,2021,1178.0
Производство прочих химических продуктов,20.5,2022,1400.0
Производство прочих химических продуктов,20.5,2023,884.0
Производство прочих химических продуктов,20.5,2024,1697.0
Производство прочих химических продуктов,20.5,2025,497.0
Производство химических волокон,20.6,2021,3.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2017,887.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2018,751.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2019,879.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2020,875.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2021,1268.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2022,1255.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023,1306.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024,1458.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2025,1854.0
Производство фармацевтических субстанций,21.1,2017,50.0
Производство фармацевтических субстанций,21.1,2018,53.0
Производство фармацевтических субстанций,21.10,2020,21.0
Производство фармацевтических субстанций,21.10,2021,36.0
Производство фармацевтических субстанций,21.10,2022,103.0
Производство фармацевтических субстанций,21.10,2023,190.0
Производство фармацевтических субстанций,21.10,2024,83.0
Производство фармацевтических субстанций,21.10,2025,183.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2017,837.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2018,698.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2019,877.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2020,854.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2021,1232.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2022,1152.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2023,1116.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2024,1375.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2025,1671.0
Производство лекарственных препаратов для медицинского применения,21.20.1,2024,1195.0
Производство лекарственных препаратов для медицинского применения,21.20.1,2025,1497.0
"Производство материалов, применяемых в медицинских целях",21.20.2,2024,180.0
"Производство материалов, применяемых в медицинских целях",21.20.2,2025,164.0
Производство лекарственных препаратов для ветеринарного применения,21.20.3,2025,10.0
Высокотехнологичные виды деятельности,21.26.01.АГ,2024,64182.0
Высокотехнологичные виды деятельности,21.26.01.АГ,2025,68626.0
Производство резиновых и пластмассовых изделий,22,2017,251.0
Производство резиновых и пластмассовых изделий,22,2018,197.0
