sector,okved2,year,BDusage_s
Рыбоводство пресноводное пастбищное,03.22.2,2023.0,1.0
Рыбоводство пресноводное пастбищное,03.22.2,2024.0,
Рыбоводство прудовое,03.22.3,2021.0,4.0
Рыбоводство прудовое,03.22.3,2023.0,1.0
Рыбоводство прудовое,03.22.3,2024.0,
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2021.0,4.0
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2023.0,
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2024.0,2.0
Деятельность по пресноводному рыбоводству прочая,03.22.9,2021.0,
Деятельность по пресноводному рыбоводству прочая,03.22.9,2023.0,
Деятельность по пресноводному рыбоводству прочая,03.22.9,2024.0,
Добыча угля,05,2021.0,84.0
Добыча угля,05,2023.0,30.0
Добыча угля,05,2024.0,16.0
Добыча и обогащение угля и антрацита,05.10,2021.0,74.0
Добыча и обогащение угля и антрацита,05.10,2023.0,27.0
Добыча и обогащение угля и антрацита,05.10,2024.0,13.0
Добыча угля и антрацита,05.10.1,2021.0,48.0
Добыча угля и антрацита,05.10.1,2023.0,16.0
Добыча угля и антрацита,05.10.1,2024.0,6.0
Добыча антрацита открытым способом,05.10.11,2021.0,
Добыча антрацита открытым способом,05.10.11,2023.0,1.0
Добыча антрацита открытым способом,05.10.11,2024.0,
Добыча коксующегося угля открытым способом,05.10.12,2021.0,6.0
Добыча коксующегося угля открытым способом,05.10.12,2023.0,1.0
Добыча коксующегося угля открытым способом,05.10.12,2024.0,1.0
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2021.0,24.0
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2023.0,10.0
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2024.0,3.0
Добыча антрацита подземным способом,05.10.14,2021.0,1.0
Добыча антрацита подземным способом,05.10.14,2023.0,1.0
Добыча антрацита подземным способом,05.10.14,2024.0,
Добыча коксующегося угля подземным способом,05.10.15,2021.0,12.0
Добыча коксующегося угля подземным способом,05.10.15,2023.0,1.0
Добыча коксующегося угля подземным способом,05.10.15,2024.0,1.0
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2021.0,4.0
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2023.0,2.0
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2024.0,
Обогащение угля,05.10.2,2021.0,25.0
Обогащение угля,05.10.2,2023.0,11.0
Обогащение угля,05.10.2,2024.0,6.0
Обогащение антрацита,05.10.21,2021.0,1.0
Обогащение антрацита,05.10.21,2023.0,1.0
Обогащение антрацита,05.10.21,2024.0,1.0
Обогащение коксующегося угля,05.10.22,2021.0,11.0
Обогащение коксующегося угля,05.10.22,2023.0,3.0
Обогащение коксующегося угля,05.10.22,2024.0,2.0
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2021.0,11.0
