sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s,x,y,clust
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2021.0,0.0776308121958203,0.0651981907542256,0.0192571149070723,0.0199340800280612,-0.05086723895380439,-0.044307983705939136,2
Производство машин и оборудования общего назначения,28.1,2021.0,0.0211905032745195,0.1993582510839593,0.0771075034826739,0.0087378665430165,0.027020800995571595,0.0701239942295933,0
Производство прочих текстильных изделий,13.9,2022.0,0.0093825693801997,0.0356447663042506,0.0735436060866937,0.0120338310716825,-0.0022751831369137443,-0.08329698460658565,2
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2022.0,0.0672636858643746,0.0986290062103405,0.0817513367569128,0.0174411519816537,0.015991403464539616,-0.023516189037439558,2
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.0370700998669352,0.1199806929499286,0.0761956203708214,0.0244229371832264,0.014149526296451581,-0.00045719752772553635,2
Производство резиновых и пластмассовых изделий,22,2022.0,0.0736984421208984,0.0436868497741268,0.0047987633204037,0.0156918649747509,-0.06869569985844357,-0.06350261941035193,2
Производство нефтепродуктов,19.2,2024.0,0.4191952427391263,0.0922108003124667,0.0921045911827937,0.0072292605306225,0.024808742523223057,-0.03412572854754366,2
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.0135385457152662,0.1978331551841637,0.0196903856636883,0.014474240529714,-0.029658594722629536,0.07960688301930795,0
"Производство машин и оборудования, не включенных в другие группировки",28,2024.0,0.0835352871168806,0.1716494615402719,0.026025325635497,0.0379500133135826,-0.026671146847220446,0.0603642774783487,0
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2024.0,0.0627994859411675,0.1001246868489315,0.0111526244711407,0.0185839455713823,-0.0533883407853568,-0.010318867975549331,2
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2021.0,0.0294927779313264,0.0590843377507837,0.0045602199091947,0.0170029900604292,-0.06644572542549321,-0.048526769115867924,2
Производство прочих пищевых продуктов,10.8,2022.0,0.0650765750722051,0.033683234957157,0.0159886197435912,0.0935705576116637,-0.05631942702506454,-0.05301225337845539,2
Добыча нефти и природного газа,06,2021.0,0.7029330320247307,0.0546830890959164,0.207747242310694,0.0164770676018078,0.13332128887316586,-0.08582828745165333,1
Добыча нефти и природного газа,06,2022.0,0.710610060995402,0.0490349334371947,0.0091049425549766,0.0148792341445633,-0.06363109227624984,-0.059368111228845395,2
Производство резиновых и пластмассовых изделий,22,2024.0,0.0700915637454783,0.0468954683400704,0.0022596012130722,0.0164157591784859,-0.07066627468859742,-0.059851673969465155,2
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,0.1784723559635719,0.1310767205542637,0.0454912646666055,0.0370580916002213,-0.013917157770826208,0.018560659922661968,0
Производство прочих текстильных изделий,13.9,2021.0,0.0100479151442327,0.070164391456725,0.0758659414502714,0.025086019545144,0.005967064188020038,-0.047359158176204744,2
Производство одежды,14,2023.0,0.0139403793766935,0.0472731242254463,0.0074543240044613,0.0003685477783973,-0.06608221680303811,-0.06482423962887654,2
Сбор и обработка сточных вод,37,2021.0,0.0110118569628561,0.0613475926130791,0.0077479247018442,0.0267431862604222,-0.06257738028589382,-0.04417943387029237,2
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2024.0,0.029960128361931,0.0550646775744115,0.0215171251121428,0.0149674911836975,-0.05042674302471622,-0.05565277626824655,2
Производство хлебобулочных и мучных кондитерских изделий,10.7,2022.0,0.0312465333530091,0.1301592237297324,0.0212157354560021,0.0023398373648314,-0.03931569906301262,0.011927214626743857,0
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,0.5170809936634365,0.058216440723753,0.0052461523732571,0.0084405823691531,-0.06622707455763491,-0.05185332311210868,2
"Производство чугуна, стали и ферросплавов",24.1,2021.0,0.2019852471531207,0.0619779168546756,0.198483318129116,0.0071089231668067,0.12498382029820335,-0.08004030628788777,1
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2021.0,0.0485193443428967,0.0417280511840031,0.0039837497157243,0.0178671128282636,-0.06972828535566557,-0.0646157314803122,2
