sector,okved2,year,pAIusage_s
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021.0,0.125
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2022.0,
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2023.0,
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2022.0,0.037037037037037035
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024.0,0.03571428571428571
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021.0,0.04
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2022.0,0.058823529411764705
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023.0,0.05
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024.0,
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021.0,0.043478260869565216
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2022.0,0.06666666666666667
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023.0,0.05555555555555555
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2021.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2023.0,
Разведение овец и коз,01.45,2021.0,0.05555555555555555
Разведение овец и коз,01.45,2023.0,0.07407407407407407
Разведение овец и коз,01.45,2024.0,0.037037037037037035
Разведение овец и коз,01.45.1,2021.0,0.030303030303030304
Разведение овец и коз,01.45.1,2022.0,0.043478260869565216
Разведение овец и коз,01.45.1,2023.0,0.09523809523809523
Разведение овец и коз,01.45.1,2024.0,
Производство сырого овечьего и козьего молока,01.45.2,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2022.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2024.0,
Разведение племенных овец и коз,01.45.4,2021.0,
Разведение племенных овец и коз,01.45.4,2022.0,
Разведение племенных овец и коз,01.45.4,2023.0,
Разведение племенных овец и коз,01.45.4,2024.0,0.3333333333333333
Разведение свиней,01.46,2021.0,0.04854368932038835
Разведение свиней,01.46,2022.0,0.1111111111111111
Разведение свиней,01.46,2023.0,0.06770833333333333
Разведение свиней,01.46,2024.0,0.08376963350785341
Выращивание и разведение свиней,01.46.1,2021.0,0.05113636363636364
Выращивание и разведение свиней,01.46.1,2022.0,0.12209302325581395
Выращивание и разведение свиней,01.46.1,2023.0,0.0736196319018405
Выращивание и разведение свиней,01.46.1,2024.0,0.08823529411764706
Выращивание свиней на мясо,01.46.11,2021.0,0.046511627906976744
Выращивание свиней на мясо,01.46.11,2022.0,0.11834319526627218
Выращивание свиней на мясо,01.46.11,2023.0,0.075
Выращивание свиней на мясо,01.46.11,2024.0,0.08982035928143713
Разведение племенного поголовья свиней,01.46.12,2021.0,
Разведение племенного поголовья свиней,01.46.12,2022.0,
Разведение племенного поголовья свиней,01.46.12,2023.0,
Разведение племенного поголовья свиней,01.46.12,2024.0,
Разведение сельскохозяйственной птицы,01.47,2021.0,0.026845637583892617
Разведение сельскохозяйственной птицы,01.47,2022.0,0.04792332268370607
Разведение сельскохозяйственной птицы,01.47,2023.0,0.020134228187919462
Разведение сельскохозяйственной птицы,01.47,2024.0,0.023890784982935155
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021.0,0.043859649122807015
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2022.0,0.02564102564102564
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,0.017543859649122806
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024.0,
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,0.034482758620689655
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2022.0,0.03296703296703297
