sector,okved2,year,pPCusage_s
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2021.0,1.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2022.0,1.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2023.0,0.9396551724137931
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2024.0,0.7983193277310925
Лесоводство и лесозаготовки,02,2017.0,1.0
Лесоводство и лесозаготовки,02,2018.0,1.0
Лесоводство и лесозаготовки,02,2019.0,1.0
Лесоводство и лесозаготовки,02,2021.0,1.0
Лесоводство и лесозаготовки,02,2022.0,0.9992289899768697
Лесоводство и лесозаготовки,02,2023.0,0.996875
Лесоводство и лесозаготовки,02,2024.0,0.97782874617737
Лесоводство и прочая лесохозяйственная деятельность,02.10,2021.0,1.0
Лесоводство и прочая лесохозяйственная деятельность,02.10,2022.0,0.9986130374479889
Лесоводство и прочая лесохозяйственная деятельность,02.10,2023.0,0.9986263736263736
Лесоводство и прочая лесохозяйственная деятельность,02.10,2024.0,0.9809384164222874
Деятельность лесопитомников,02.10.1,2021.0,1.0
Деятельность лесопитомников,02.10.1,2022.0,1.0
Деятельность лесопитомников,02.10.1,2023.0,0.9545454545454546
Деятельность лесопитомников,02.10.1,2024.0,0.8823529411764706
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2021.0,1.0
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2022.0,1.0
